iter	Passed	Remaining
599	1979	1319
600	1981	1315
601	1985	1312
602	1987	1308
603	1989	1304
604	1991	1300
605	1993	1295
606	1994	1291
607	1997	1287
608	1999	1284
609	2002	1279
610	2003	1275
611	2005	1271
612	2007	1267
613	2009	1263
614	2014	1261
615	2017	1257
616	2019	1253
617	2021	1249
618	2023	1245
619	2028	1242
620	2030	1239
621	2032	1235
622	2035	1231
623	2037	1227
624	2039	1223
625	2041	1219
626	2044	1216
627	2046	1212
628	2048	1208
629	2050	1204
630	2052	1200
631	2054	1196
632	2057	1193
633	2059	1189
634	2061	1185
635	2063	1181
636	2065	1177
637	2068	1173
638	2071	1170
639	2074	1167
640	2076	1163
641	2079	1159
642	2081	1155
643	2083	1151
644	2088	1149
645	2090	1145
646	2092	1141
647	2094	1137
648	2096	1133
649	2098	1130
650	2102	1127
651	2104	1123
652	2106	1119
653	2107	1115
654	2109	1111
655	2111	1107
656	2113	1103
657	2118	1100
658	2120	1097
659	2121	1093
660	2124	1089
661	2126	1085
662	2128	1082
663	2134	1079
664	2136	1076
665	2138	1072
666	2141	1068
667	2144	1065
668	2149	1063
669	2152	1060
670	2154	1056
671	2156	1052
672	2158	1048
673	2160	1045
674	2163	1041
675	2165	1038
676	2167	1034
677	2169	1030
678	2171	1026
679	2173	1022
680	2176	1019
681	2179	1016
682	2182	1012
683	2184	1009
684	2187	1005
685	2189	1002
686	2194	999
687	2196	996
688	2198	992
689	2200	988
690	2202	984
691	2204	981
692	2208	978
693	2210	974
694	2212	970
695	2214	967
696	2216	963
697	2218	960
698	2222	957
699	2224	953
700	2226	949
701	2229	946
702	2231	942
703	2235	939
704	2237	936
705	2239	932
706	2242	929
707	2244	925
708	2246	922
709	2251	919
710	2255	916
711	2257	913
712	2260	909
713	2262	906
714	2267	903
715	2270	900
716	2272	897
717	2275	893
718	2277	889
719	2281	887
720	2283	883
721	2285	880
722	2287	876
723	2289	872
724	2291	869
725	2296	866
726	2298	863
727	2300	859
728	2303	856
729	2305	852
730	2307	849
731	2312	846
732	2314	843
733	2316	839
734	2319	836
735	2321	832
736	2325	830
737	2328	826
738	2330	823
739	2332	819
740	2334	815
741	2337	812
742	2342	810
743	2344	806
744	2346	803
745	2348	799
746	2350	796
747	2353	792
748	2358	790
749	2361	787
750	2364	783
751	2367	780
752	2373	778
753	2375	775
754	2377	771
755	2379	768
756	2381	764
757	2383	761
758	2387	758
759	2389	754
760	2391	751
761	2393	747
762	2395	744
763	2397	740
764	2402	738
765	2405	734
766	2407	731
767	2410	728
768	2412	724
769	2416	721
770	2418	718
771	2420	714
772	2422	711
773	2424	707
774	2426	704
775	2428	701
776	2431	697
777	2433	694
778	2435	691
779	2438	687
780	2440	684
781	2442	680
782	2446	678
783	2449	674
784	2451	671
785	2453	668
786	2456	664
787	2460	661
788	2462	658
789	2464	655
790	2466	651
791	2468	648
792	2469	644
793	2471	641
794	2474	638
795	2476	634
796	2479	631
797	2481	628
798	2484	624
799	2486	621
800	2491	619
801	2494	615
802	2496	612
803	2498	609
804	2500	605
805	2505	603
806	2507	599
807	2510	596
808	2513	593
809	2516	590
810	2520	587
811	2522	584
812	2525	580
813	2527	577
814	2529	574
815	2531	570
816	2536	568
817	2538	564
818	2540	561
819	2542	558
820	2544	554
821	2547	551
822	2551	548
823	2553	545
824	2555	542
825	2558	538
826	2560	535
827	2566	533
828	2569	529
829	2571	526
830	2573	523
831	2576	520
832	2581	517
833	2583	514
834	2586	511
835	2588	507
836	2590	504
837	2592	501
838	2597	498
839	2599	495
840	2602	491
841	2604	488
842	2606	485
843	2612	482
844	2614	479
845	2616	476
846	2618	473
847	2620	469
848	2623	466
849	2627	463
850	2629	460
851	2631	457
852	2633	453
853	2636	450
854	2641	447
855	2643	444
856	2646	441
857	2652	438
858	2659	436
859	2662	433
860	2664	430
861	2666	426
862	2671	424
863	2674	420
864	2676	417
865	2678	414
866	2680	411
867	2683	408
868	2688	405
869	2690	402
870	2693	398
871	2695	395
872	2697	392
873	2702	389
874	2705	386
875	2707	383
876	2709	379
877	2711	376
878	2713	373
879	2717	370
880	2719	367
881	2721	364
882	2724	360
883	2726	357
884	2730	354
885	2733	351
886	2735	348
887	2737	345
888	2739	342
889	2741	338
890	2747	336
891	2751	333
892	2754	330
893	2757	327
894	2763	324
895	2765	321
896	2767	317
897	2769	314
898	2771	311
899	2776	308
900	2778	305
901	2781	302
902	2783	299
903	2785	295
904	2788	292
905	2793	289
906	2795	286
907	2797	283
908	2799	280
909	2801	277
910	2805	274
911	2807	270
912	2810	267
913	2812	264
914	2814	261
915	2816	258
916	2821	255
917	2823	252
918	2826	249
919	2828	245
920	2830	242
921	2833	239
922	2836	236
923	2838	233
924	2841	230
925	2843	227
926	2846	224
927	2850	221
928	2852	217
929	2854	214
930	2856	211
931	2858	208
932	2863	205
933	2865	202
934	2868	199
935	2870	196
936	2872	193
937	2875	190
938	2879	187
939	2882	183
940	2884	180
941	2886	177
942	2888	174
943	2893	171
944	2897	168
945	2899	165
946	2901	162
947	2904	159
948	2910	156
949	2912	153
950	2914	150
951	2917	147
952	2919	144
953	2925	141
954	2927	137
955	2930	134
956	2932	131
957	2935	128
958	2940	125
959	2942	122
960	2945	119
961	2947	116
962	2949	113
963	2954	110
964	2956	107
965	2959	104
966	2961	101
967	2964	97
968	2966	94
969	2971	91
970	2973	88
971	2975	85
972	2977	82
973	2980	79
974	2982	76
975	2986	73
976	2988	70
977	2990	67
978	2992	64
979	2994	61
980	2999	58
981	3001	55
982	3003	51
983	3006	48
984	3008	45
985	3010	42
986	3015	39
987	3017	36
988	3020	33
989	3023	30
990	3025	27
991	3028	24
992	3031	21
993	3034	18
994	3037	15
995	3041	12
996	3046	9
997	3049	6
998	3051	3
999	3053	0
